行       	原单词          	改正后            
607     	iter             	inter          
607     	priv             	prim           
608     	info             	into           
608     	priv             	prim           
609     	priv             	prim           
609     	info             	into           
609     	ops              	op             
610     	priv             	prim           
610     	dsize            	size           
611     	priv             	prim           
612     	ENOMEM           	ENAMEL         
613     	goto             	got            
613     	prog             	pro            
616     	info             	into           
617     	info             	into           
617     	priv             	prim           
619     	goto             	got            
622     	meta             	met            
622     	priv             	prim           
622     	tinfo            	into           
622     	info             	into           
622     	prog             	pro            
624     	priv             	prim           
629     	inode            	node           
631     	prog             	pro            
632     	prog             	pro            
632     	prog             	pro            
636     	iter             	inter          
636     	fd               	ff             
638     	iter             	inter          
638     	iter             	inter          
640     	unsigned         	signed         
641     	fd               	ff             
643     	ops              	op             
643     	iter             	inter          
643     	lops             	lips           
644     	EINVAL           	FINAL          
646     	RDONLY           	ONLY           
647     	fd               	ff             
647     	fd               	ff             
648     	fd               	ff             
649     	fd               	ff             
651     	inode            	node           
651     	getfile          	defile         
651     	iter             	inter          
651     	iter             	inter          
651     	fops             	foes           
653     	PTR              	PER            
654     	goto             	got            
654     	fd               	ff             
657     	iter             	inter          
657     	iter             	inter          
658     	iter             	inter          
658     	info             	into           
658     	iter             	inter          
660     	goto             	got            
662     	fd               	ff             
662     	fd               	ff             
663     	fd               	ff             
666     	fput             	put            
667     	fd               	ff             
668     	fd               	ff             
668     	fd               	ff             
672     	prog             	pro            
672     	iter             	inter          
672     	info             	into           
672     	iter             	inter          
672     	meta             	met            
672     	meta             	met            
672     	bool             	book           
674     	iter             	inter          
674     	priv             	prim           
674     	iter             	inter          
674     	priv             	prim           
676     	priv             	prim           
678     	meta             	met            
679     	iter             	inter          
679     	fops             	foes           
682     	priv             	prim           
683     	iter             	inter          
683     	priv             	prim           
683     	priv             	prim           
683     	iter             	inter          
683     	priv             	prim           
686     	iter             	inter          
686     	priv             	prim           
689     	meta             	met            
689     	iter             	inter          
689     	priv             	prim           
690     	meta             	met            
690     	num              	sum            
690     	iter             	inter          
690     	priv             	prim           
690     	num              	sum            
692     	iter             	inter          
692     	priv             	prim           
692     	prog             	pro            
695     	iter             	inter          
695     	prog             	pro            
695     	prog             	pro            
695     	prog             	pro            
695     	ctx              	cox            
697     	ctx              	cox            
697     	ctx              	cox            
697     	ctx              	cox            
698     	ret              	met            
700     	prog             	pro            
701     	rcu              	rou            
702     	disable          	disabled       
704     	ctx              	cox            
704     	ctx              	cox            
704     	ctx              	cox            
705     	ret              	met            
705     	prog             	pro            
705     	prog             	pro            
705     	ctx              	cox            
706     	reset            	rest           
706     	ctx              	cox            
706     	ctx              	cox            
708     	rcu              	rou            
708     	unlock           	clock          
710     	rcu              	rou            
711     	disable          	disabled       
712     	ctx              	cox            
712     	ctx              	cox            
712     	ctx              	cox            
713     	ret              	met            
713     	prog             	pro            
713     	prog             	pro            
713     	ctx              	cox            
714     	reset            	rest           
714     	ctx              	cox            
714     	ctx              	cox            
716     	rcu              	rou            
716     	unlock           	clock          
721     	retry            	retro          
722     	iter             	inter          
722     	prog             	pro            
723     	ops              	op             
752     	inlined          	inclined       
752     	sync             	son            
753     	verifier         	verifies       
753     	inline           	online         
763     	ret              	met            
770     	const            	cost           
772     	gpl              	gal            
773     	ret              	met            
773     	RET              	MET            
773     	INTEGER          	INTER          
774     	arg              	are            
774     	ARG              	ARE            
775     	arg              	are            
775     	ARG              	ARE            
775     	PTR              	PER            
776     	arg              	are            
776     	ARG              	ARE            
776     	PTR              	PER            
776     	STACK            	STICK          
777     	arg              	are            
777     	ARG              	ARE            
780     	iter             	inter          
780     	num              	sum            
780     	kern             	keen           
783     	aligned          	signed         
785     	diag             	diam           
786     	diag             	diam           
786     	Wmissing         	Missing        
787     	vmlinux          	linux          
787     	BTF              	BPF            
789     	kfunc            	func           
789     	iter             	inter          
789     	num              	sum            
789     	iter             	inter          
789     	num              	sum            
791     	iter             	inter          
791     	num              	sum            
791     	kern             	keen           
793     	sizeof           	size           
793     	iter             	inter          
793     	num              	sum            
793     	kern             	keen           
793     	sizeof           	size           
793     	iter             	inter          
793     	num              	sum            
794     	alignof          	align          
794     	iter             	inter          
794     	num              	sum            
794     	kern             	keen           
794     	alignof          	align          
794     	iter             	inter          
794     	num              	sum            
796     	BTF              	BPF            
796     	btf              	bpf            
796     	iter             	inter          
796     	num              	sum            
798     	legit            	left           
799     	iter             	inter          
799     	num              	sum            
806     	overflows        	overflow       
812     	iter             	inter          
812     	num              	sum            
814     	underflow        	underfoot      
