行       	原单词          	改正后            
264     	uncharging       	unchanging     
265     	unlinked         	unlicked       
277     	RCU              	ROU            
278     	RCU              	ROU            
278     	smap             	map            
281     	unlock           	clock          
281     	bh               	by             
282     	caller           	called         
284     	unlock           	clock          
285     	rcu              	rou            
285     	intuitive        	intuition      
287     	unlock           	clock          
287     	bh               	by             
289     	bool             	book           
290     	caller           	called         
291     	RCU              	ROU            
314     	smap             	map            
319     	caller           	called         
320     	caller           	called         
321     	responsibile     	responsible    
351     	unlinked         	unlicked       
351     	sk               	s              
354     	rcu              	rou            
354     	dereference      	reference      
355     	rcu              	rou            
356     	smap             	map            
356     	rcu              	rou            
356     	dereference      	reference      
356     	smap             	map            
357     	rcu              	rou            
358     	smap             	map            
362     	nolock           	clock          
363     	reuse            	refuse         
364     	unlock           	clock          
367     	smap             	map            
367     	reuse            	refuse         
370     	nolock           	clock          
373     	RCU              	ROU            
374     	hlist            	list           
374     	rcu              	rou            
374     	snode            	node           
379     	smap             	map            
381     	unsigned         	signed         
383     	lockless         	luckless       
384     	unlinked         	unlicked       
384     	smap             	map            
409     	unlinking        	blinking       
410     	unlinked         	unlicked       
417     	cacheit          	cachexia       
417     	lockit           	locket         
417     	lookup           	lockup         
417     	lockless         	luckless       
419     	lookup           	lockup         
420     	smap             	map            
421     	bool             	book           
421     	cacheit          	cachexia       
421     	lockit           	locket         
423     	sdata            	data           
426     	cache            	ache           
432     	cache            	ache           
433     	hlist            	list           
433     	rcu              	rou            
433     	snode            	node           
434     	rcu              	rou            
435     	rcu              	rou            
435     	SDATA            	DATA           
435     	smap             	map            
435     	smap             	map            
441     	sdata            	data           
441     	SDATA            	DATA           
442     	cacheit          	cachexia       
442     	lockit           	locket         
443     	unsigned         	signed         
447     	deleted          	delete         
447     	sdata            	data           
447     	cache            	ache           
448     	lookup           	lockup         
465     	EEXIST           	EXIST          
467     	sdata            	data           
512     	kernel           	keener         
513     	kernel           	keener         
514     	bh               	by             
514     	irq              	irs            
516     	sk               	s              
516     	sk               	s              
519     	ptr              	per            
527     	smap             	map            
529     	kfree            	free           
529     	rcu              	rou            
531     	rcu              	rou            
531     	mult             	must           
533     	accessing        	accepting      
534     	rcu              	rou            
546     	sk               	s              
547     	sk               	s              
547     	sk               	s              
547     	sk               	s              
547     	sk               	s              
547     	refcnt           	recent         
561     	NOEXIST          	COEXIST        
577     	PTR              	PER            
579     	alloc            	allow          
579     	smap             	map            
579     	gfp              	gap            
581     	PTR              	PER            
581     	ENOMEM           	ENAMEL         
583     	alloc            	allow          
583     	smap             	map            
583     	gfp              	gap            
585     	smap             	map            
586     	mem              	me             
586     	uncharge         	charge         
586     	smap             	map            
586     	smap             	map            
587     	PTR              	PER            
590     	SDATA            	DATA           
593     	NOEXIST          	COEXIST        
594     	sdata            	data           
594     	inline           	online         
618     	Recheck          	Check          
619     	hlist            	list           
622     	retry            	retro          
643     	uncharge         	charge         
643     	sdata            	data           
645     	uncharge         	charge         
647     	sdata            	data           
648     	sdata            	data           
648     	uncharged        	unchanged      
649     	nolock           	clock          
659     	smap             	map            
664     	sdata            	data           
665     	sdata            	data           
666     	sdata            	data           
667     	nolock           	clock          
667     	sdata            	data           
671     	unlock           	clock          
672     	unlock           	clock          
673     	SDATA            	DATA           
675     	unlock           	clock          
676     	unlock           	clock          
678     	mem              	me             
678     	uncharge         	charge         
678     	smap             	map            
678     	smap             	map            
679     	smap             	map            
681     	PTR              	PER            
684     	cache            	ache           
684     	idx              	ix             
684     	cache            	ache           
684     	cache            	ache           
687     	res              	yes            
689     	cache            	ache           
689     	idx              	ix             
691     	CACHE            	ACHE           
692     	cache            	ache           
692     	idx              	ix             
693     	cache            	ache           
693     	idx              	ix             
694     	res              	yes            
696     	cache            	ache           
696     	idx              	ix             
722     	BTF              	UTF            
722     	sk               	s              
723     	btf              	utf            
723     	btf              	utf            
724     	EINVAL           	FINAL          
732     	btf              	utf            
732     	const            	cost           
733     	const            	cost           
733     	btf              	utf            
733     	btf              	utf            
734     	const            	cost           
734     	btf              	utf            
735     	const            	cost           
735     	btf              	utf            
739     	BTF              	UTF            
739     	INFO             	INTO           
739     	info             	into           
739     	BTF              	UTF            
740     	EINVAL           	FINAL          
743     	BTF              	UTF            
743     	BTF              	UTF            
744     	EINVAL           	FINAL          
751     	smap             	map            
753     	bool             	book           
754     	hlist            	list           
755     	unsigned         	signed         
757     	smap             	map            
757     	rcu              	rou            
757     	dereference      	reference      
757     	smap             	map            
757     	rcu              	rou            
758     	smap             	map            
760     	prog             	pro            
761     	modifying        	edifying       
762     	deleted          	delete         
763     	prog             	pro            
766     	unlinking        	blinking       
771     	unlinking        	blinking       
776     	nolock           	clock          
777     	iteration        	operation      
778     	iteration        	operation      
779     	cgroup           	group          
795     	callocated       	allocate       
795     	selems           	seems          
796     	sizeof           	size           
796     	smap             	map            
796     	buckets          	bucket         
796     	ULL              	ALL            
796     	smap             	map            
800     	mem              	me             
800     	alloc            	allow          
801     	allocator        	allocation     
801     	prog             	pro            
802     	PTR              	PER            
802     	BTF              	UTF            
802     	btf              	utf            
803     	cgroup           	group          
803     	mem              	me             
803     	alloc            	allow          
803     	reuses           	refuses        
804     	reuse            	refuse         
805     	rcu              	rou            
808     	kfree            	free           
826     	buckets          	bucket         
827     	nbuckets         	bucket         
827     	nbuckets         	bucket         
828     	smap             	map            
828     	ilog             	log            
828     	nbuckets         	bucket         
830     	smap             	map            
830     	buckets          	bucket         
830     	smap             	map            
830     	sizeof           	size           
830     	smap             	map            
830     	buckets          	bucket         
831     	nbuckets         	bucket         
831     	GFP              	GAP            
831     	GFP              	GAP            
831     	NOWARN           	TOWARD         
832     	smap             	map            
832     	buckets          	bucket         
833     	ENOMEM           	ENAMEL         
834     	goto             	got            
834     	smap             	map            
837     	nbuckets         	bucket         
838     	HLIST            	LIST           
838     	smap             	map            
838     	buckets          	bucket         
839     	smap             	map            
839     	buckets          	bucket         
842     	smap             	map            
842     	offsetof         	offset         
843     	sdata            	data           
845     	smap             	map            
847     	mem              	me             
847     	alloc            	allow          
847     	smap             	map            
847     	smap             	map            
849     	goto             	got            
849     	smap             	map            
851     	mem              	me             
851     	alloc            	allow          
851     	smap             	map            
851     	sizeof           	size           
853     	mem              	me             
853     	alloc            	allow          
853     	smap             	map            
854     	goto             	got            
854     	smap             	map            
858     	smap             	map            
858     	cache            	ache           
858     	idx              	ix             
858     	cache            	ache           
858     	idx              	ix             
858     	cache            	ache           
859     	smap             	map            
861     	smap             	map            
862     	kvfree           	free           
862     	smap             	map            
862     	buckets          	bucket         
863     	smap             	map            
864     	PTR              	PER            
868     	cache            	ache           
868     	cache            	ache           
869     	percpu           	perch          
873     	smap             	map            
874     	unsigned         	signed         
876     	smap             	map            
877     	cache            	ache           
877     	idx              	ix             
877     	cache            	ache           
877     	smap             	map            
877     	cache            	ache           
877     	idx              	ix             
879     	cloned           	closed         
880     	sk               	s              
880     	clone            	alone          
880     	sk               	s              
880     	clone            	alone          
881     	RCU              	ROU            
881     	RCU              	ROU            
882     	inc              	in             
886     	prog             	pro            
892     	sk               	s              
892     	sk               	s              
892     	destruct         	district       
899     	hlist            	list           
900     	rcu              	rou            
900     	dereference      	reference      
900     	hlist            	list           
900     	rcu              	rou            
903     	disable          	disabled       
904     	inc              	in             
911     	resched          	reached        
911     	rcu              	rou            
913     	rcu              	rou            
913     	unlock           	clock          
918     	sk               	s              
918     	unlinked         	unlicked       
923     	smap             	map            
923     	uncharging       	unchanging     
924     	nolock           	clock          
926     	rcu              	rou            
