行       	原单词          	改正后            
219     	bypass           	pass           
219     	spec             	speck          
220     	insn             	isn            
220     	BPF              	OF             
220     	JMP              	JUMP           
220     	IMM              	MMM            
220     	BPF              	OF             
220     	JGE              	AGE            
220     	ret              	met            
221     	insn             	isn            
221     	BPF              	OF             
221     	ALU              	ALL            
221     	IMM              	MMM            
221     	BPF              	OF             
221     	ret              	met            
223     	insn             	isn            
223     	BPF              	OF             
223     	JMP              	JUMP           
223     	IMM              	MMM            
223     	BPF              	OF             
223     	JGE              	AGE            
223     	ret              	met            
226     	elem             	eley           
227     	insn             	isn            
227     	BPF              	OF             
227     	ALU              	ALL            
227     	IMM              	MMM            
227     	BPF              	OF             
227     	LSH              	LASH           
227     	ret              	met            
227     	ilog             	log            
227     	elem             	eley           
229     	insn             	isn            
229     	BPF              	OF             
229     	ALU              	ALL            
229     	IMM              	MMM            
229     	BPF              	OF             
229     	MUL              	MUD            
229     	ret              	met            
229     	elem             	eley           
231     	insn             	isn            
231     	BPF              	OF             
231     	ALU              	ALL            
231     	REG              	RED            
231     	BPF              	OF             
231     	ret              	met            
231     	ptr              	per            
232     	insn             	isn            
232     	BPF              	OF             
232     	JMP              	JUMP           
232     	IMM              	MMM            
232     	BPF              	OF             
233     	insn             	isn            
233     	BPF              	OF             
233     	MOV              	MOVE           
233     	IMM              	MMM            
233     	ret              	met            
234     	insn             	isn            
234     	insn             	isn            
234     	buf              	but            
237     	eBPF             	beef           
274     	cpu              	cup            
274     	bpf              	of             
276     	kernel           	keener         
291     	int              	in             
291     	struct           	struck         
291     	bpf              	of             
293     	struct           	struck         
293     	bpf              	of             
293     	struct           	struck         
293     	bpf              	of             
303     	ENOENT           	EVENT          
309     	eBPF             	beef           
319     	EINVAL           	FINAL          
322     	allocated        	allocate       
327     	EEXIST           	EXIST          
329     	BPF              	OF             
330     	btf              	utf            
330     	BPF              	OF             
331     	EINVAL           	FINAL          
333     	BPF              	OF             
333     	PERCPU           	PERU           
334     	cpu              	cup            
334     	ptr              	per            
334     	pptrs            	parts          
336     	bpf              	of             
336     	obj              	obs            
339     	elem             	eley           
340     	BPF              	OF             
344     	bpf              	of             
344     	obj              	obs            
349     	int              	in             
349     	bpf              	of             
349     	percpu           	peru           
349     	struct           	struck         
349     	bpf              	of             
352     	struct           	struck         
352     	bpf              	of             
352     	struct           	struck         
352     	bpf              	of             
354     	percpu           	peru           
354     	pptr             	part           
355     	int              	in             
355     	cpu              	cup            
358     	BPF              	OF             
363     	allocated        	allocate       
366     	BPF              	OF             
366     	NOEXIST          	COEXIST        
370     	bytes            	bites          
371     	cpu              	cup            
371     	bpf              	of             
372     	lookup           	lockup         
372     	bytes            	bites          
373     	zeros            	zero           
373     	percpu           	peru           
373     	alloc            	allow          
374     	kernel           	keener         
374     	leaks            	leads          
388     	eBPF             	beef           
389     	elem             	eley           
389     	struct           	struck         
389     	bpf              	of             
391     	EINVAL           	FINAL          
394     	addr             	add            
394     	struct           	struck         
394     	bpf              	of             
396     	unsigned         	signed         
399     	timers           	times          
399     	struct           	struck         
399     	bpf              	of             
401     	struct           	struck         
401     	bpf              	of             
401     	struct           	struck         
401     	bpf              	of             
402     	int              	in             
404     	reset            	rest           
404     	timer            	time           
404     	uref             	urea           
412     	refcnt           	recent         
413     	struct           	struck         
413     	bpf              	of             
415     	struct           	struck         
415     	bpf              	of             
415     	struct           	struck         
415     	bpf              	of             
416     	int              	in             
419     	BPF              	OF             
419     	PERCPU           	PERU           
421     	percpu           	peru           
421     	pptr             	part           
421     	pptrs            	parts          
422     	int              	in             
422     	cpu              	cup            
424     	cpu              	cup            
424     	cpu              	cup            
425     	bpf              	of             
425     	obj              	obs            
425     	cpu              	cup            
425     	ptr              	per            
425     	pptr             	part           
425     	cpu              	cup            
426     	resched          	reached        
431     	bpf              	of             
431     	obj              	obs            
431     	elem             	eley           
431     	ptr              	per            
435     	BPF              	OF             
435     	PERCPU           	PERU           
436     	bpf              	of             
436     	percpu           	peru           
438     	BPF              	OF             
438     	MMAPABLE         	CAPABLE        
439     	bpf              	of             
439     	addr             	add            
441     	bpf              	of             
444     	seq              	see            
444     	elem             	eley           
444     	struct           	struck         
444     	bpf              	of             
445     	struct           	struck         
445     	seq              	see            
449     	rcu              	rou            
451     	lookup           	lockup         
451     	elem             	eley           
453     	rcu              	rou            
453     	unlock           	clock          
457     	btf              	utf            
458     	seq              	see            
458     	printf           	print          
459     	btf              	utf            
459     	seq              	see            
459     	btf              	utf            
459     	btf              	utf            
460     	seq              	see            
462     	rcu              	rou            
462     	unlock           	clock          
465     	percpu           	peru           
465     	seq              	see            
465     	elem             	eley           
465     	struct           	struck         
465     	bpf              	of             
466     	struct           	struck         
466     	seq              	see            
468     	struct           	struck         
468     	bpf              	of             
468     	struct           	struck         
468     	bpf              	of             
470     	percpu           	peru           
470     	pptr             	part           
471     	int              	in             
471     	cpu              	cup            
473     	rcu              	rou            
475     	seq              	see            
475     	printf           	print          
476     	pptr             	part           
476     	pptrs            	parts          
477     	cpu              	cup            
477     	cpu              	cup            
478     	seq              	see            
478     	printf           	print          
478     	tcpu             	type           
478     	cpu              	cup            
479     	btf              	utf            
479     	seq              	see            
479     	btf              	utf            
479     	btf              	utf            
480     	cpu              	cup            
480     	ptr              	per            
480     	pptr             	part           
480     	cpu              	cup            
481     	seq              	see            
483     	seq              	see            
485     	rcu              	rou            
485     	unlock           	clock          
488     	int              	in             
488     	btf              	utf            
488     	const            	cost           
488     	struct           	struck         
488     	bpf              	of             
489     	const            	cost           
489     	struct           	struck         
489     	btf              	utf            
489     	btf              	utf            
490     	const            	cost           
490     	struct           	struck         
490     	btf              	utf            
491     	const            	cost           
491     	struct           	struck         
491     	btf              	utf            
493     	int              	in             
495     	keyless          	sexless        
495     	BTF              	UTF            
495     	bss              	bass           
495     	rodata           	data           
511     	bpf              	of             
512     	btf              	utf            
512     	attr             	att            
658     	bpf              	of             
658     	iter             	inter          
658     	uref             	urea           
658     	uref             	urea           
659     	iterating        	operating      
660     	uref             	urea           
660     	iterator         	operator       
715     	ret              	met            
719     	percpu           	peru           
721     	num              	sum            
721     	elems            	elets          
724     	mem              	me             
724     	const            	cost           
724     	struct           	struck         
724     	bpf              	of             
726     	struct           	struck         
726     	bpf              	of             
726     	struct           	struck         
726     	bpf              	of             
727     	bool             	book           
727     	percpu           	peru           
727     	BPF              	OF             
727     	PERCPU           	PERU           
728     	elem             	eley           
728     	elem             	eley           
730     	sizeof           	size           
732     	percpu           	peru           
733     	sizeof           	size           
734     	elem             	eley           
734     	num              	sum            
734     	cpus             	pus            
736     	BPF              	OF             
736     	MMAPABLE         	CAPABLE        
738     	elem             	eley           
740     	elem             	eley           
746     	BTF              	UTF            
746     	btf              	utf            
746     	ids              	is             
746     	struct           	struck         
746     	bpf              	of             
747     	const            	cost           
747     	struct           	struck         
747     	bpf              	of             
747     	ops              	op             
747     	ops              	op             
748     	meta             	met            
748     	meta             	met            
749     	alloc            	allow          
749     	alloc            	allow          
750     	alloc            	allow          
750     	alloc            	allow          
753     	uref             	urea           
753     	timers           	times          
754     	lookup           	lockup         
754     	elem             	eley           
754     	lookup           	lockup         
754     	elem             	eley           
755     	elem             	eley           
755     	elem             	eley           
756     	elem             	eley           
756     	elem             	eley           
757     	lookup           	lockup         
757     	lookup           	lockup         
758     	addr             	add            
758     	addr             	add            
759     	meta             	met            
759     	meta             	met            
760     	mmap             	map            
760     	mmap             	map            
761     	seq              	see            
761     	elem             	eley           
761     	seq              	see            
761     	elem             	eley           
762     	btf              	utf            
762     	btf              	utf            
763     	lookup           	lockup         
763     	generic          	genetic        
763     	lookup           	lockup         
764     	generic          	genetic        
765     	args             	arms           
765     	args             	arms           
766     	bpf              	of             
766     	elem             	eley           
767     	mem              	me             
767     	mem              	me             
768     	btf              	utf            
768     	btf              	utf            
768     	ids              	is             
769     	iter             	inter          
769     	seq              	see            
769     	info             	into           
769     	iter             	inter          
769     	seq              	see            
769     	info             	into           
772     	const            	cost           
772     	struct           	struck         
772     	bpf              	of             
772     	ops              	op             
772     	percpu           	peru           
772     	ops              	op             
773     	meta             	met            
773     	bpf              	of             
773     	meta             	met            
774     	alloc            	allow          
774     	alloc            	allow          
775     	alloc            	allow          
775     	alloc            	allow          
778     	lookup           	lockup         
778     	elem             	eley           
778     	percpu           	peru           
778     	lookup           	lockup         
778     	elem             	eley           
779     	elem             	eley           
779     	elem             	eley           
780     	elem             	eley           
780     	elem             	eley           
781     	lookup           	lockup         
781     	percpu           	peru           
781     	elem             	eley           
781     	percpu           	peru           
781     	lookup           	lockup         
781     	percpu           	peru           
781     	elem             	eley           
782     	seq              	see            
782     	elem             	eley           
782     	percpu           	peru           
782     	seq              	see            
782     	elem             	eley           
783     	btf              	utf            
783     	btf              	utf            
784     	lookup           	lockup         
784     	generic          	genetic        
784     	lookup           	lockup         
785     	generic          	genetic        
786     	args             	arms           
786     	args             	arms           
787     	bpf              	of             
787     	elem             	eley           
788     	mem              	me             
788     	mem              	me             
789     	btf              	utf            
789     	btf              	utf            
789     	ids              	is             
790     	iter             	inter          
790     	seq              	see            
790     	info             	into           
790     	iter             	inter          
790     	seq              	see            
790     	info             	into           
793     	int              	in             
793     	fd               	ff             
793     	alloc            	allow          
793     	bpf              	of             
793     	attr             	att            
793     	attr             	att            
795     	descriptors      	descriptions   
799     	attr             	att            
799     	BPF              	OF             
799     	RDONLY           	ONLY           
799     	PROG             	PRO            
799     	BPF              	OF             
799     	WRONLY           	WRONGLY        
799     	PROG             	PRO            
800     	EINVAL           	FINAL          
801     	alloc            	allow          
801     	attr             	att            
804     	fd               	ff             
804     	struct           	struck         
804     	bpf              	of             
806     	struct           	struck         
806     	bpf              	of             
806     	struct           	struck         
806     	bpf              	of             
807     	int              	in             
822     	int              	in             
822     	bpf              	of             
822     	fd               	ff             
822     	lookup           	lockup         
822     	elem             	eley           
822     	struct           	struck         
822     	bpf              	of             
824     	elem             	eley           
824     	ptr              	per            
825     	int              	in             
825     	ret              	met            
827     	ops              	op             
827     	fd               	ff             
827     	sys              	says           
827     	lookup           	lockup         
827     	elem             	eley           
830     	rcu              	rou            
831     	elem             	eley           
831     	lookup           	lockup         
831     	elem             	eley           
832     	elem             	eley           
832     	ptr              	per            
832     	elem             	eley           
833     	ops              	op             
833     	fd               	ff             
833     	sys              	says           
833     	lookup           	lockup         
833     	elem             	eley           
833     	ptr              	per            
835     	ret              	met            
835     	ENOENT           	EVENT          
836     	rcu              	rou            
836     	unlock           	clock          
838     	ret              	met            
926     	decrement        	detriment      
926     	refcnt           	recent         
926     	bpf              	of             
926     	progs            	cross          
927     	bpf              	of             
927     	fd               	ff             
927     	struct           	struck         
927     	bpf              	of             
929     	struct           	struck         
929     	bpf              	of             
929     	struct           	struck         
929     	bpf              	of             
930     	int              	in             
933     	fd               	ff             
933     	elem             	eley           
936     	prog             	pro            
936     	seq              	see            
936     	elem             	eley           
936     	struct           	struck         
936     	bpf              	of             
937     	struct           	struck         
937     	seq              	see            
939     	elem             	eley           
939     	ptr              	per            
940     	prog             	pro            
942     	rcu              	rou            
944     	elem             	eley           
944     	lookup           	lockup         
944     	elem             	eley           
945     	elem             	eley           
946     	ptr              	per            
946     	elem             	eley           
947     	ptr              	per            
948     	seq              	see            
948     	printf           	print          
949     	prog             	pro            
949     	prog             	pro            
949     	fd               	ff             
949     	sys              	says           
949     	lookup           	lockup         
949     	elem             	eley           
949     	ptr              	per            
950     	btf              	utf            
950     	seq              	see            
950     	btf              	utf            
950     	btf              	utf            
951     	prog             	pro            
952     	seq              	see            
956     	rcu              	rou            
956     	unlock           	clock          
959     	struct           	struck         
959     	prog             	pro            
959     	poke             	spoke          
959     	elem             	eley           
960     	struct           	struck         
961     	struct           	struck         
961     	bpf              	of             
961     	prog             	pro            
964     	int              	in             
964     	prog             	pro            
964     	poke             	spoke          
964     	struct           	struck         
964     	bpf              	of             
965     	struct           	struck         
965     	bpf              	of             
965     	prog             	pro            
965     	prog             	pro            
967     	struct           	struck         
967     	prog             	pro            
967     	poke             	spoke          
967     	elem             	eley           
967     	elem             	eley           
968     	struct           	struck         
968     	bpf              	of             
969     	int              	in             
969     	ret              	met            
971     	struct           	struck         
971     	bpf              	of             
972     	mutex            	mute           
972     	poke             	spoke          
972     	mutex            	mute           
973     	elem             	eley           
973     	poke             	spoke          
973     	progs            	cross          
974     	elem             	eley           
974     	prog             	pro            
975     	goto             	got            
978     	elem             	eley           
978     	sizeof           	size           
978     	elem             	eley           
978     	GFP              	GAP            
978     	KERNEL           	KEENER         
979     	elem             	eley           
980     	ret              	met            
980     	ENOMEM           	ENAMEL         
981     	goto             	got            
984     	INIT             	KNIT           
984     	elem             	eley           
985     	info             	into           
987     	prog             	pro            
987     	poke             	spoke          
1036    	prog             	pro            
1038    	tracking         	cracking       
1039    	JITed            	cited          
1040    	skip             	skin           
1040    	poke             	spoke          
1041    	JIT              	IT             
1041    	fixup            	fixed          
1043    	poke             	spoke          
1044    	activated        	activate       
1044    	updates          	updated        
1045    	JIT              	IT             
1045    	fixup            	fixed          
1046    	activated        	activate       
1046    	poke             	spoke          
1047    	teardown         	tearworn       
1048    	RCU              	ROU            
1048    	untrack          	track          
1049    	bpf              	of             
1049    	poke             	spoke          
1050    	BPF              	OF             
1051    	bails            	balls          
1051    	EINVAL           	FINAL          
1051    	unreachable      	unteachable    
1052    	RCU              	ROU            
1052    	skip             	skin           
1053    	refcount         	recounts       
1053    	patching         	watching       
1055    	poke             	spoke          
1055    	mutex            	mute           
1055    	untrack          	track          
1055    	JIT              	IT             
1056    	buffer           	suffer         
1057    	patching         	watching       
1058    	evicted          	excited        
1058    	skip             	skin           
1060    	bpf              	of             
1060    	poke             	spoke          
1093    	CPUs             	pus            
1095    	nop              	not            
1095    	stack            	stick          
1095    	unwind           	unkind         
1095    	nop              	not            
1163    	prog             	pro            
1163    	jited            	cited          
1163    	runtime          	auntie         
1164    	verifier         	verifies       
1165    	prog             	pro            
1166    	meta             	met            
1166    	implemented      	implements     
1292    	int              	in             
1292    	fd               	ff             
1294    	cgroup           	group          
1294    	fd               	ff             
1294    	fd               	ff             
1297    	cgroup           	group          
1297    	fd               	ff             
1297    	ptr              	per            
1297    	ptr              	per            
1299    	cgroup           	group          
1299    	cgrp             	carp           
1299    	rcu              	rou            
1346    	meta             	met            
1347    	fdget            	get            
1347    	fdput            	put            
